no_peak,tpp,ecv,sa,est_tpp,est_ecv,tw,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60
0,-79.0,1.06,281.7534484863281,-79.0,0.9654015,-82.0,0.9340598303331883,0.9434753102133693,0.9539092476113075,0.9653823929172343,0.9779045848094895,0.9914735902413022,1.0060740540547704,1.0216765887386399,1.0382370346172376,1.0556959199185505,1.0739781485843487,1.0929929413526538,1.1126340526603973,1.132780282296202,1.153296296379687,1.1740337670914007,1.1948328346625943,1.215523888512725,1.2359296571274485,1.2558675883544672,1.2751524933811231,1.293599418920916,1.311026703244994,1.327259162776323,1.3421313471195686,1.3554907917870551,1.3672011898185294,1.3771453964275346,1.3852281752054014,1.3913785908027339,1.3955519521170074,1.3977312128538089,1.3979277446178315,1.3961814147206357,1.3925599306301664,1.3871574552730919,1.3800925437926839,1.3715054903280977,1.3615551957863636,1.3504156759595731,1.338272328938856,1.3253180756493848,1.3117494795648306,1.2977629422930061,1.2835510613437549,1.2692992253936402,1.2551825111105952,1.241362934424923,1.22798709820628,1.2151842676339937,1.203064894163996,1.1917195991054617,1.181218618651853,1.1716117037931768,1.1629284607172525,1.1551791099460105,1.1483556355185607,1.1424332890386637,1.1373724073060711,1.1331204964835948
0,-65.0,1.04,129.031005859375,-65.0,0.94540995,-599.0,0.9327516753182309,0.9381021498754508,0.94379198398461,0.9498259108394124,0.9562055991525041,0.9629292544666559,0.969991249203399,0.9773817919214046,0.9850866458260593,0.9930869061345925,1.0013588454139901,1.009873835390268,1.0185983528938598,1.0274940764787095,1.0365180788012158,1.0456231181358233,1.0547580305794868,1.0638682226916576,1.0728962625762835,1.0817825656234508,1.0904661689500437,1.0988855855866067,1.1069797256185538,1.1146888674550117,1.121955659043356,1.1287261265634576,1.1349506667474125,1.1405849981640221,1.145591046455915,1.1499377387364738,1.153601683368238,1.1565677132808008,1.1588292738045125,1.160388639628199,1.1612569499626813,1.1614540563371651,1.1610081834925716,1.1599554101298994,1.1583389823043018,1.1562084775623023,1.1536188421274893,1.1506293263839,1.147302345736939,1.1437022949717741,1.1398943446960674,1.1359432483445302,1.1319121873971851,1.127861680795021,1.1238485820477466,1.1199251844424598,1.1161384514187225,1.1125293858413379,1.1091325486331893,1.105975733938622,1.10307980464113,1.100458688732888,1.0981195337732177,1.0960630134520688,1.0942837771076934,1.0927710300256728
0,-2.0,0.82,141.87318420410156,-1.0,0.7334848,-599.0,0.7085168881933837,0.7076138326971622,0.7071134662746362,0.7070718768862875,0.7075441389504478,0.7085834514558155,0.7102402438124118,0.7125612614485508,0.7155886440860894,0.7193590106421492,0.7239025657736156,0.7292422441232954,0.7353929092819255,0.7423606253308443,0.7501420195211046,0.7587237549780707,0.768082132037249,0.7781828358227906,0.7889808461106277,0.8004205235463725,0.812435883933354,0.8249510694782123,0.8378810225389328,0.8511323636045778,0.8646044710002154,0.8781907552121941,0.8917801158592211,0.905258564255538,0.9185109891932114,0.9314230379884655,0.9438830791312303,0.955784207323031,0.9670262465435712,0.9775177022645682,0.98717761031042,0.9959372274983386,1.0037415083800563,1.010550313439935,1.0163392974251906,1.0211004327446087,1.0248421327612434,1.0275889537188052,1.0293808716316388,1.0302721502878105,1.030329836147669,1.0296319327395473,1.0282653193518145,1.0263234859337942,1.0239041587345112,1.021106890394178,1.0180306850746017,1.0147717245624839,1.0114212554410962,1.0080636905755538,1.0047749705698712,1.0016212228156298,0.9986577474202277,0.9959283507652652,0.9934650388062458,0.991288073572131
0,0.0,0.64,89.5600357055664,5.0,0.57870543,-599.0,0.5651159208926609,0.5658390744475117,0.5668053314626776,0.5680414986043684,0.5695734059947988,0.5714254320213947,0.573620019511278,0.5761771911903381,0.5791140727389267,0.5824444320747277,0.5861782437046426,0.5903212870928819,0.5948747880081687,0.5998351117350992,0.6051935168400722,0.6109359778448218,0.6170430846473384,0.6234900258025293,0.6302466618075757,0.6372776933172356,0.6445429277364372,0.6519976459061855,0.6595930686326885,0.6672769206355023,0.6749940871337717,0.6826873557852865,0.6902982341189395,0.6977678300670366,0.7050377807869874,0.7120512126899969,0.718753713506459,0.7250942954100726,0.7310263268264056,0.7365084096852333,0.7415051786217001,0.745987999042877,0.7499355421023259,0.75333421652637,0.7561784399834491,0.7584707363516562,0.7602216498630295,0.7614494726696021,0.7621797887677615,0.762444844143266,0.7622827599053056,0.7617366113004924,0.7608534001467269,0.7596829510881663,0.7582767632715318,0.7566868489687303,0.754964589739597,0.7531596392772081,0.7513189003340774,0.7494856011382282,0.7476984943156418,0.7459911983583862,0.7443916981221212,0.742922016856636,0.7415980679831389,0.7404296902626663
0,-3.0,0.78,104.12012481689453,9.0,0.6576473,-599.0,0.6424175866844456,0.6448235969744694,0.6475131988421257,0.6505093569150459,0.6538340299439434,0.6575077237325546,0.6615490291587299,0.665974152885973,0.6707964491878359,0.6760259619642124,0.6816689864783565,0.6877276605986553,0.6941995954315311,0.7010775551914813,0.7083491959235733,0.7159968722257506,0.7239975204298088,0.7323226258523424,0.7409382807662743,0.7498053386600155,0.7588796690817456,0.7681125158514421,0.7774509596509147,0.7868384839663567,0.7962156410240386,0.8055208117227437,0.8146910507184677,0.823663004911218,0.8323738907273665,0.8407625128185835,0.8487703041791633,0.8563423653759507,0.8634284787439758,0.8699840721133819,0.8759711059514225,0.8813588577729141,0.8861245783722526,0.8902539960252204,0.8937416475136364,0.8965910187972531,0.8988144834099265,0.9004330330129693,0.9014758016616438,0.9019793928572868,0.9019870259723668,0.9015475256136251,0.9007141832942887,0.8995435249671637,0.8980940204542207,0.8964247718109393,0.8945942174387431,0.8926588874235597,0.8906722431687406,0.888683631070518,0.8867373761074466,0.8848720371121558,0.8831198412723245,0.8815063110217669,0.8800500918999479,0.8787629851963397
0,6.0,0.64,125.3554916381836,7.0,0.51351726,-303.0,0.4913299963818775,0.49163088634355295,0.49224888609878936,0.4932302772613432,0.4946214587816382,0.4964682715443874,0.4988152764343179,0.5017049943603823,0.5051771180123904,0.509267706417292,0.5140083746744525,0.5194254925337155,0.5255394066389009,0.5323637021991422,0.5399045205199361,0.5481599492063587,0.557119501925437,0.566763704353459,0.5770638023116623,0.5879816071007741,0.5994694916776407,0.6114705495830004,0.6239189264553209,0.6367403315552587,0.6498527339069489,0.6631672443347482,0.6765891808132602,0.690019310214724,0.703355254779193,0.7164930464521392,0.7293288066666023,0.7417605233243391,0.7536898908416414,0.7650241733410481,0.7756780455563305,0.7855753610545777,0.794650793427522,0.8028512937212877,0.8101373070979773,0.8164836941001615,0.821880307573578,0.8263321860346414,0.8298593385995582,0.8324961152605821,0.8342901775441641,0.8353011052940824,0.8355986923525293,0.8352609955865443,0.8343722081104955,0.8330204297478607,0.8312954069065328,0.8292863109534779,0.8270796194296552,0.8247571584698287,0.8223943579316836,0.8200587632453096,0.8178088400131284,0.8156930989987619,0.8137495603957008,0.8120055672136255
0,5.0,0.87,158.77342224121094,8.0,0.69426215,-357.0,0.6679017017023442,0.6690294487701189,0.6705784958194035,0.6726009856902048,0.6751486078269047,0.6782717944431202,0.6820188708413438,0.6864351709007381,0.6915621303778748,0.6974363720963446,0.7040887982303364,0.7115437058115813,0.7198179423825379,0.728920119345277,0.7388499009573497,0.7495973870863646,0.7611426077403366,0.7734551469753125,0.7864939129607406,0.8002070697331434,0.8145321445257305,0.8293963225365053,0.8447169385282866,0.8604021716637419,0.8763519464655815,0.892459038823224,0.9086103815789611,0.924688559396555,0.9405734773527918,0.9561441820918335,0.9712808085587639,0.9858666193765995,0.9997900979658121,1.0129470506719458,1.0252426675880075,1.0365934865754036,1.0469292005281872,1.0561942448173325,1.064349100958503,1.0713712548458774,1.0772557544002765,1.082015323103461,1.0856800030716238,1.0882963233661798,1.0899260137109563,1.090644306912833,1.0905378917288684,1.0897025903395072,1.0882408414827782,1.086259072876688,1.0838650458952133,1.0811652523794744,1.078262438561301,1.075253324776399,1.0722265821517891,1.0692611187848875,1.0664247181616504,1.063773062006146,1.0613491588273185,1.0591831883561882
0,-43.0,0.85,126.49110412597656,-36.0,0.7003571,-599.0,0.6797604523201011,0.685027489372126,0.6907820398231259,0.697044611176448,0.7038320721871907,0.7111570072610511,0.7190270877616095,0.7274444740050693,0.7364052622289494,0.7458989913031112,0.7559082242538938,0.7664082195481308,0.7773667063654852,0.7887437768196068,0.8004919064667282,0.8125561126077872,0.8248742578351701,0.837377503910134,0.8499909183179682,0.8626342327254878,0.8752227491292335,0.8876683858794414,0.8998808521278724,0.9117689356024968,0.9232418849033031,0.9342108637479046,0.9445904509200614,0.9543001562339646,0.9632659196116972,0.9714215573584994,0.978710117148576,0.9850851016143222,0.9905115202960625,0.9949667313641636,0.9984410380500566,1.000938010213748,1.002474509175161,1.0030804040112504,1.0027979797128632,1.0016810509719125,0.9997938082952788,0.9972094337451957,0.9940085306306252,0.9902774148234461,0.9861063159246003,0.9815875354920651,0.9768136079397582,0.9718755078699957,0.966860945284205,0.9618527869407554,0.9569276378923627,0.952154612027069,0.9475943146973423,0.9432980548951525,0.9393072992829411,0.9356533755714185,0.9323574278995171,0.9294306218373368,0.9268745914079153,0.924682115210363
0,-88.0,0.91,137.64447021484375,-88.0,0.76059186,-599.0,0.7453936180095071,0.7581243883021844,0.7714307245958432,0.7852882964214088,0.7996667503134951,0.8145294389474415,0.829833206803729,0.8455282449061435,0.8615580275266871,0.8778593437536681,0.8943624365575582,0.910991261250164,0.9276638737040076,0.9442929563099132,0.960786486578321,0.9770485497386792,0.9929802928003714,1.0084810134278226,1.0234493727720217,1.0377847171691283,1.0513884894082037,1.064165706180545,1.0760264745289403,1.086887516767346,1.0966736704581068,1.105319327568927,1.112769774974432,1.118982397323548,1.123927703359241,1.1275901383754696,1.1299686488469396,1.131076970538021,1.1309436187405297,1.1296115687916695,1.1271376264852744,1.1235915006026658,1.1190546020577379,1.1136186044072618,1.1073838076769864,1.100457351490136,1.0929513248756304,1.0849808195849155,1.076661971888428,1.0681100351090156,1.0594375219012533,1.050752451757035,1.0421567355743242,1.033744725400272,1.0256019535565435,1.0178040811158378,1.0104160710503005,1.0034915964429083,0.9970726892056702,0.9911896300217823,0.9858610758615144,0.981094417433381,0.9768863552251099,0.9732236792515402,0.9700842342377661,0.9674380487400583
0,-3.0,1.08,211.8041534423828,-2.0,0.82200974,-321.0,0.7781471978408481,0.7811399052029523,0.7848324355380958,0.7893054085739774,0.794638196730338,0.8009075853822835,0.8081863679603799,0.8165418954843597,0.826034602019188,0.8367165293881004,0.8486298762060298,0.8618055978111192,0.8762620848866854,0.8920039494541679,0.9090209474746587,0.9272870674733167,0.9467598143296008,0.9673797166141082,0.989070084536208,1.0117370435730262,1.0352698660501751,1.0595416192699467,1.084410144234173,1.1097193735975401,1.1353009911755862,1.160976428058787,1.1865591821551429,1.2118574389089505,1.2366769611765382,1.2608242059337316,1.2841096148719175,1.3063510153745932,1.3273770582598043,1.3470306093563729,1.3651720037963992,1.3816820654153796,1.3964647897173177,1.409449588564565,1.420592999254579,1.4298797710804436,1.4373232597766603,1.4429650848069984,1.446874035441717,1.449144246407939,1.4498926984652134,1.4492561293073187,1.4473874629130523,1.4444518800514354,1.4406226597984466,1.4360769230996986,1.4309914061248796,1.425538384521265,1.4198818604004746,1.414174112526373,1.4085526971803093,1.4031379729343822,1.3980312073625487,1.3933133078121673,1.3890442018996614,1.385262876442821
